,Date,Close,Open,High,Low,Volume,Change,interpolated_bvps,interpolated_equity,interpolated_total_debt,interpolated_net_debt,interpolated_working_capital,interpolated_net_income,pbv
1623,2020-06-25 00:00:00+07:00,2497.432861328125,2497.432861328125,2544.8524726191654,2481.6263242311115,100882600,-0.0062893491100692,972.0435312064016,96292.96964614875,64210.60121871155,35683.02241336867,-29310.460671902045,7219059.956382334,2.5692603069211986
1624,2020-06-26 00:00:00+07:00,2521.142822265625,2521.142822265625,2544.8526293715718,2513.2395532303094,100784500,0.0094937330667184,971.3322197147315,96222.50979591782,64230.909988225,35743.14929617821,-29419.57292593999,7202675.607525067,2.595551523047443
1625,2020-06-29 00:00:00+07:00,2513.239501953125,2529.046039701257,2568.56238407159,2497.432964204992,156613200,-0.0031348165771099,969.4675211153942,96037.80034234782,64289.62851734129,35941.41705497598,-29709.441464903397,7157910.937759963,2.5923916451183286
1626,2020-06-30 00:00:00+07:00,2533.2294921875,2566.452174052254,2574.7578445184427,2533.2294921875,258068400,0.007953873961809,968.9394495589851,95985.49196100868,64308.487304828,36013.63484931536,-29793.08702408984,7144543.905022003,2.6144352914317865
1627,2020-07-01 00:00:00+07:00,2524.923828125,2549.84083958676,2574.75785104852,2500.00681666324,148037400,-0.0032786859967147,968.46,95938.0,64327.0,36089.0,-29870.0,7132000.0,2.6071534478708465
1628,2020-07-02 00:00:00+07:00,2607.98046875,2524.923765923567,2607.98046875,2524.923765923567,178357900,0.0328947113967701,968.0299680633043,95895.40327220959,64345.168462527254,36167.5381879342,-29940.078056955965,7120299.460533735,2.6941112928225492
1629,2020-07-03 00:00:00+07:00,2591.369384765625,2616.286398080679,2641.203411395733,2583.063713660607,102033100,-0.0063693283686041,967.648832651448,95857.65015710467,64362.97574565238,36249.17841209894,-30003.3949718696,7109433.397924294,2.6780060052002868
1630,2020-07-06 00:00:00+07:00,2533.2294921875,2599.674855917008,2616.2861968493853,2524.9238217213115,248572600,-0.0224359726251004,966.7903027846326,95772.61019902375,64414.014034973174,36511.7595869779,-30153.956914949737,7081680.3679010505,2.62024710517997
1631,2020-07-07 00:00:00+07:00,2591.369384765625,2541.5353581355166,2591.369384765625,2533.2296870304986,169104200,0.022950898352253,966.5962506918507,95753.38924578167,64430.16011684792,36604.85624106631,-30191.407312287254,7073990.509383041,2.68092223915707
1632,2020-07-08 00:00:00+07:00,2616.2861328125,2599.674792286706,2624.5918030753965,2583.0634517609124,158166300,0.0096152822493611,966.4468437337667,95738.5907607855,64445.83677749959,36700.57907388601,-30222.68559287904,7067054.276053926,2.707118502973998
1633,2020-07-09 00:00:00+07:00,2583.063720703125,2632.897747469102,2649.509089724427,2583.063720703125,125940800,-0.0126983099030001,966.341231632352,95728.1305151473,64461.022368563994,36798.832913937156,-30247.909561784403,7060855.497580114,2.67303477917401
1634,2020-07-10 00:00:00+07:00,2583.063720703125,2583.063720703125,2599.675062958451,2574.7580495754623,95422400,0.0,966.278564109578,95721.92427997921,64475.69524167694,36899.522589719905,-30267.197024062676,7055378.003628024,2.6732081375347576
1635,2020-07-13 00:00:00+07:00,2566.4521484375,2591.369159587379,2599.6748299706715,2558.146478054207,77733900,-0.0064309572127408,966.3397262328186,95727.98734841612,64516.421069665084,37215.25491645925,-30290.618421728093,7043111.525566208,2.6558487442532908
1636,2020-07-14 00:00:00+07:00,2558.146728515625,2574.758070908584,2583.063742105063,2549.8410573191454,111442600,-0.0032361483641655,966.440334244325,95737.95486624914,64528.826587330266,37324.7362201699,-30287.33790809117,7040357.466365134,2.646978440232299
1637,2020-07-15 00:00:00+07:00,2566.4521484375,2591.369159587379,2599.6748299706715,2558.146478054207,102304100,0.0032466550215022,966.5796354443305,95751.75525011263,64540.61114522302,37436.17750211291,-30278.70991312373,7038243.840017848,2.6551895512031125
1638,2020-07-16 00:00:00+07:00,2574.7578125,2566.452142137097,2583.063482862903,2558.1464717741937,91951000,0.00323624349184,966.7567795548067,95769.30427111867,64551.753094979176,37549.483590788426,-30264.852241885117,7036754.4761907635,2.663294291751107
1639,2020-07-17 00:00:00+07:00,2541.53515625,2574.757838031046,2583.063508476307,2541.53515625,112416300,-0.0129032160184968,966.9709162977255,95790.51770037937,64562.230788234505,37664.559314696606,-30245.882699434635,7035873.204550295,2.6283470509959725
1640,2020-07-20 00:00:00+07:00,2541.53515625,2558.146497140523,2558.146497140523,2524.923815359477,64735500,0.0,967.8267795408522,95875.30214881014,64589.46184535377,38019.452582818594,-30159.480895405173,7036716.239412719,2.6260227656190014
1641,2020-07-21 00:00:00+07:00,2541.53515625,2533.2294858047385,2583.063508476307,2533.2294858047385,101283800,0.0,968.1803840332568,95910.33092221023,64597.06602896396,38140.65513265892,-30121.241918700412,7038105.633182851,2.6250636742529774
1642,2020-07-22 00:00:00+07:00,2549.841064453125,2549.841064453125,2566.452406892559,2541.535393233408,69462100,0.003268067405127,968.5667297679619,95948.60295942538,64603.8977142524,38263.15146023266,-30078.480096080373,7040022.2674716655,2.6325920415044473
1643,2020-07-23 00:00:00+07:00,2549.841064453125,2549.841064453125,2566.452406892559,2541.535393233408,70482100,0.0,968.9849664669392,95990.03403156764,64609.93525285487,38386.84639403997,-30031.313232604385,7042449.971945579,2.6314557528691265
1644,2020-07-24 00:00:00+07:00,2508.312744140625,2558.146772169909,2558.146772169909,2508.312744140625,137265100,-0.0162866309165065,969.4342438521604,96034.53990974915,64615.15699640719,38511.644762581,-29979.85913333176,7045372.576271003,2.5873985368760555
1645,2020-07-27 00:00:00+07:00,2524.923828125,2508.3124871504933,2533.2294986122533,2508.3124871504933,58708800,0.0066224134224004,970.9598173450034,96185.66409164973,64625.71097312131,38891.70876160791,-29800.951471327255,7056948.085020481,2.6004411130309824
1646,2020-07-28 00:00:00+07:00,2508.312744140625,2533.229758155267,2533.229758155267,2500.007072802411,102705300,-0.0065788455870806,971.5247546949163,96241.62690510892,64627.453052831115,39019.96915408533,-29733.52647946127,7061688.585416088,2.58183101564746
1647,2020-07-29 00:00:00+07:00,2491.701171875,2516.61818359375,2533.229524739583,2491.701171875,114352000,-0.0066226080876196,972.1164813409312,96300.2433801677,64628.27109566979,39148.857123797214,-29662.40327709524,7066843.133995275,2.5631714097038696
1648,2020-07-30 00:00:00+07:00,2533.2294921875,2524.9238217213115,2533.2294921875,2491.7011398565573,95785000,0.0166666536024662,972.7341470050196,96361.4292879382,64628.14345327317,39278.27749924374,-29587.699669288493,7072395.5604244545,2.6042362139615807
1649,2020-08-03 00:00:00+07:00,2425.255859375,2541.535249892979,2541.535249892979,2367.11616411601,255659800,-0.0426229179572918,975.4471942815428,96630.1826683789,64617.743064049806,39799.37962837913,-29255.437284840616,7098260.637969387,2.48630153799489
1650,2020-08-04 00:00:00+07:00,2450.1728515625,2466.7841929290253,2466.7841929290253,2425.255839512712,96018000,0.0102739643288281,976.1818008655739,96702.95230638917,64612.562270013776,39930.034460001065,-29164.598725720025,7105559.89864474,2.50995547078418
1651,2020-08-05 00:00:00+07:00,2508.312744140625,2458.478716111341,2524.924086817053,2425.256030758485,120719100,0.0237288942863964,976.9372447995087,96777.78600378359,64606.305900557294,40060.65066835854,-29070.886591514623,7113160.01516857,2.5675269905953804
1652,2020-08-06 00:00:00+07:00,2508.312744140625,2533.229758155267,2533.229758155267,2491.7014014641973,71699000,0.0,977.7126758053182,96854.5995316743,64598.95230731617,40191.13308195169,-28974.41868728372,7121044.817207289,2.5654906663397696
1653,2020-08-07 00:00:00+07:00,2475.08984375,2508.312526216443,2516.618196833054,2466.784173133389,78347200,-0.0132451188426295,978.5072436049746,96933.30866117339,64590.47984192621,40321.38652928069,-28875.312818086648,7129198.134427312,2.5294547995693724
1654,2020-08-10 00:00:00+07:00,2466.7841796875,2491.701191603536,2508.312532880892,2466.7841796875,65485400,-0.0033557020499571,980.9972649867404,97179.9673704416,64558.132729221325,40709.82135868423,-28563.34547129156,7155107.473839334,2.5145678461405723
1655,2020-08-11 00:00:00+07:00,2433.5615234375,2475.0898770797785,2491.70121853669,2433.5615234375,175693000,-0.0134680028044483,981.8598771815001,97265.41661749494,64544.968291594065,40838.20722595809,-28454.865792822966,7164173.148448705,2.478522220933617
1656,2020-08-12 00:00:00+07:00,2450.1728515625,2433.5615101959743,2458.478522245762,2425.255839512712,110934800,0.006825933088199,982.7373747799645,97352.34032171703,64530.576739997014,40965.88826946856,-28344.337174684795,7173426.48657145,2.4932122400566024
1657,2020-08-13 00:00:00+07:00,2500.0068359375,2450.172812629776,2508.312506488787,2450.172812629776,160906600,0.0203389668378786,983.6289075041054,97440.65425421995,64514.93642606596,41092.76931771576,-28231.87742193636,7182851.317873978,2.5416158643416704
1658,2020-08-14 00:00:00+07:00,2516.6181640625,2508.312493554043,2524.9238345709573,2491.701152537129,93007500,0.0066445130814094,984.5336250758945,97530.27418611583,64498.02570143672,41218.755199199884,-28117.60433963698,7192431.472022706,2.5561525782001624
1659,2020-08-18 00:00:00+07:00,2533.2294921875,2516.618151255123,2541.5351626536885,2491.7011398565573,139358500,0.0066006549432928,988.2673382789649,97900.12932987022,64417.24572865407,41711.84362750835,-27644.73481611637,7231981.91040788,2.5633038693750985
1660,2020-08-19 00:00:00+07:00,2491.701171875,2533.229524739583,2533.229524739583,2491.701171875,103980600,-0.0163934299835738,989.2252259185691,97995.01582541195,64393.65822507101,41831.92610267924,-27523.16216195205,7242096.123783807,2.5188411158452517
1661,2020-08-24 00:00:00+07:00,2491.701171875,2500.006842447917,2508.312513020833,2483.395501302083,76713900,0.0,994.1189062481923,98479.77311634352,64254.28322662183,42408.44211210381,-26901.057504391276,7293218.296661939,2.5064417910315053
1662,2020-08-25 00:00:00+07:00,2475.08984375,2500.0068555998323,2500.0068555998323,2475.08984375,100013600,-0.0066666614409864,995.1125387942387,98578.19993495899,64221.96919227586,42518.29984020381,-26774.612930946532,7303439.760102158,2.487246162880256
1663,2020-08-26 00:00:00+07:00,2508.312744140625,2475.090058787769,2533.229758155267,2475.090058787769,122465300,0.0134229068389246,996.109152851593,98676.92200631236,64188.124966861404,42626.12034354254,-26647.76868866266,7313622.502385542,2.518110326523955
1664,2020-08-27 00:00:00+07:00,2483.3955078125,2508.312519596572,2524.923860785953,2466.784166623119,102787800,-0.0099338634651245,997.1078981422265,98775.85510151573,64152.72890201425,42731.80845062013,-26520.642582598986,7323750.353178502,2.490598572571201
1665,2020-08-28 00:00:00+07:00,2458.478759765625,2483.395774222709,2483.395774222709,2441.8674167942354,160569500,-0.0100333386158143,998.107924388111,98874.91499168116,64115.75934937024,42835.26898993674,-26393.352417814833,7333807.142147454,2.463139205384821
1666,2020-08-31 00:00:00+07:00,2375.421875,2458.478583916084,2475.0899256993007,2375.421875,204261100,-0.0337838528950898,1001.1071860769872,99172.01314307068,63995.19328101498,43131.33348632221,-26011.675621732626,7363389.434774388,2.372794749689595
1667,2020-09-01 00:00:00+07:00,2408.64453125,2408.64453125,2416.9502020474138,2375.421848060345,90565400,0.0139860024864004,1002.103833363592,99270.73792420521,63951.713293541536,43224.93203959642,-25884.907272659722,7373000.273111438,2.403587783079635
1668,2020-09-02 00:00:00+07:00,2450.1728515625,2408.6444981461864,2466.7841929290253,2408.6444981461864,107589800,0.0172413653296314,1003.0975102153061,99369.16835586223,63906.55157645025,43315.8271676104,-25758.563890162917,7382459.197956548,2.442606851886804
1669,2020-09-03 00:00:00+07:00,2408.64453125,2450.172885237069,2458.4785560344826,2392.0331896551725,123106100,-0.0169491390315654,1004.0873663541012,99467.22020915379,63859.68648137694,43403.92369886432,-25632.763279301544,7391750.038976131,2.3988395950005095
1670,2020-09-04 00:00:00+07:00,2375.421875,2367.116204108392,2400.3388876748254,2358.810533216784,143569100,-0.013793092263705,1005.0725515019484,99564.809255192,63811.096359957395,43489.12646185831,-25507.623245134906,7400856.6258366,2.363433238177926
1671,2020-09-07 00:00:00+07:00,2408.64453125,2383.7275188577587,2416.9502020474138,2383.7275188577587,62206600,0.0139860024864004,1007.9915782195216,99853.95726090728,63654.759353979534,43726.42042628229,-25137.344653396685,7426909.158127463,2.3895482693461974
1672,2020-09-08 00:00:00+07:00,2375.421875,2400.3388876748254,2408.6445585664337,2375.421875,80068200,-0.013793092263705,1008.9495766232949,99948.85278905286,63599.0526435332,43799.096401238116,-25016.024976602224,7435117.025015617,2.3543514265102825
1673,2020-09-09 00:00:00+07:00,2325.587646484375,2367.115997314453,2375.421667480469,2325.587646484375,108397400,-0.0209791065073967,1009.8986526459789,100042.8643655055,63541.51266491967,43868.40275043479,-24895.954901799105,7443059.786076723,2.3027930974966972
1674,2020-09-10 00:00:00+07:00,2242.531005859375,2325.5877097800926,2325.5877097800926,2176.085642722801,287496300,-0.0357142594692391,1010.8379560095453,100135.90776137728,63482.11776977476,43934.24430237244,-24777.25223404664,7450721.270977198,2.2184871398301538
1675,2020-09-11 00:00:00+07:00,2333.893310546875,2217.613928526746,2358.81032097976,2201.002588238156,197756800,0.0407407096931033,1011.7666364359657,100227.89874778024,63420.84630973429,43996.52588555124,-24660.034778404148,7458085.309383457,2.3067506147150825
1676,2020-09-14 00:00:00+07:00,2400.3388671875,2350.504842263192,2400.3388671875,2342.199171442474,127562700,0.0284698346494063,1014.4804373120659,100496.71496129729,63225.55605659756,44161.05910753599,-24318.471734729726,7478231.0423010625,2.3660770369780213
1677,2020-09-15 00:00:00+07:00,2350.504638671875,2400.338659279759,2408.644329381073,2333.893298469247,106215900,-0.02076133049248,1015.3581232096178,100583.65402094593,63156.5618533329,44208.14910068087,-24208.373178120328,7484243.591394586,2.3149513309075282
1678,2020-09-16 00:00:00+07:00,2317.2822265625,2333.893568688396,2350.504910814292,2300.670884436604,68113400,-0.0141341614744257,1016.2209347798819,100669.1195266862,63085.58284335173,44251.20326756764,-24100.348858917496,7489877.842325962,2.2802937306781956
1679,2020-09-17 00:00:00+07:00,2342.199462890625,2333.893791036403,2367.116478453291,2308.976775473737,97257400,0.010752784465571,1017.0680217448297,100753.02724963015,63012.59737828982,44290.12643669646,-23994.516582180553,7495117.624761603,2.3028936244327767
1680,2020-09-18 00:00:00+07:00,2400.3388671875,2367.116183904628,2400.3388671875,2358.81051308391,162116700,0.0248225675131537,1017.8985338264329,100835.2929608899,62937.583809783006,44324.82343656749,-23890.99415296882,7499946.76836792,2.358131766006448
1681,2020-09-21 00:00:00+07:00,2333.893310546875,2400.3386717012345,2416.9500119898244,2325.58764040258,100305100,-0.0276817400863403,1020.2821179908902,101071.39573568468,62700.157999951174,44402.60570563527,-23595.464001078042,7511808.6628750805,2.287498006083562
